"TC_ID","Status","Module","Description","Expected"
"REC-006",,"Receivables","Confirmation popup before marking cheque as Bounced",
"REC-007",,"Receivables","Confirmation popup before marking cheque as Cleared",
"REC-008",,"Receivables","Edit option available after Recording payment (before Clear/Bounce)",
"REC-009",,"Receivables","BUG FIX: Invoice number of customer not allocated correctly",
"REC-010",,"Receivables","BUG FIX: Advance of 500 cleared but Outstanding Receivables not reduced",
"PAY-001",,"Payables","Add GRN Number field in Payables",
"PAY-002",,"Payables","Add GRN Value field in Payables",
"PAY-003",,"Payables","Add PO Number field in Payables",
"PAY-004",,"Payables","Advance Payment button available when GRN not available",
"PAY-005",,"Payables","Button order: Advance Payment â†’ Record Payment â†’ Cancel",
"PAY-006",,"Payables","Total Record Payments cannot exceed GRN Value",
"PAY-007",,"Payables","Edit option after Recording payment (before Clear/Bounce)",
"REP-001",,"Reports","BUG FIX: Advance payment cleared but Outstanding Receivables not reducing in Reports",
"REP-002",,"Reports","Reports and Analytics â€“ Test with more data",
"CUS-012",,"Customer","Rename 'Credit Limit' to 'Credit Limit in Currency'",
"CUS-013",,"Customer","If Shipping checkbox is unchecked, new address field should appear for shipping address",
"CUS-014",,"Customer","Currency field â€“ make it editable and include in customizing table",
"CUS-015",,"Customer","Country dropdown â€“ make it editable (currently limited options) and include in customizing table",
"CUS-016",,"Customer","Remove phone number validation (e.g. Thailand = 9 digits not accepted) and add country code prefix (+91, +66, +65)",
"CUS-017",,"Customer","Auto-filling of customer address should be removed",
"CUS-018",,"Customer","Payment Terms should not auto-fill",
"SUP-010",,"Supplier","Remove State Code field from Supplier module",
"SUP-011",,"Supplier","Add Currency field to Supplier master",
"SAL-029",,"Sales","Split Sales Invoice into: Export Invoice, Sales Invoice â€“ Within State, Sales Invoice â€“ Other States, Sales Invoice â€“ Union Territory",
"SAL-030",,"Sales","Export Invoice: GST not applicable â€“ add 'Import & Export Code' field (optional); copy tax invoice format with 'Export Invoice' label and print Import & Export Number from company profile",
"SAL-031",,"Sales","Auto-calculate GST based on Place of Supply: Within State = CGST+SGST, Other State = IGST, Union Territory = UTGST, Export = 0%",
"PUR-003",,"Purchase Order","Add 'Under Delivery Tolerance' and 'Over Delivery Tolerance' fields in Purchase Order; these should flow to GRN",
"PUR-004",,"Purchase Order","Watermark 'Approved' should appear only when PO is approved; Draft PDF should show 'Not Approved' watermark",
"PUR-005",,"Purchase Order","PDF: Print CGST and SGST values only â€“ remove '%' suffix near footer above 'Total Amount'",
"PUR-006",,"Purchase Order","GST is auto-filling before product is selected",
"GRN-012",,"GRN","Add S.No / Line Item number in GRN and enable search box for items",
"GRN-013",,"GRN","Received Qty must be â‰¤ PO Quantity (currently allows higher values); should accept as per Delivery Tolerance",
"STO-005",,"Stock Master","Multiple batches of the same product must display as separate line items in Stock Master (e.g. Dolo 500: Batch-1: 50 Qty | Batch-2: 25 Qty)",
"STO-006",,"Stock Master","Add Inventory Count module: auto-generate Inventory Count Number (INV-MONTH-001), Count Date, Count Performed By; input fields: Serial Number, Product ID, Product Description, Quantity, Batch Number, Mfg Date, Exp Date; enable Confirm button after entry",
"STO-007",,"Stock Master","Add 'Inventory Count Difference' module (admin only): input Inventory Count Number (INV-APR-001); display all product stock details showing count vs existing stock vs difference value",
"PRO-014",,"Products Master","Remove 'Opening Stock' field from Products Master",
"SAL-032",,"Sales","Batch should auto-fill or show as dropdown when product is selected in Sales Invoice",
"SAL-033",,"Sales","Exp Date and Mfg Date must auto-fill based on selected Batch in Sales Invoice",
"SAL-034",,"Sales","Add Packing Unit field in Sales Invoice",
"SAL-035",,"Sales","Shipping address must be validated / checked before invoice creation",
"SAL-036",,"Sales","Mfg Date and Exp Date validation not working â€“ wrong dates and wrong batch accepted; invoice still creates and stock reduces",
"CUS-019",,"Customer","Rename 'Credit Limit' field to 'Credit Limit in Currency'",
"CUS-020",,"Customer","Show new shipping address field when Shipping checkbox is unchecked",
"CUS-021",,"Customer","Make Currency field editable and include in customizing table",
"CUS-022",,"Customer","Make Country dropdown editable with expanded options and include in customizing table",
"CUS-023",,"Customer","Remove phone number validation; add country code prefix (+91, +66, +65)",
"CUS-024",,"Customer","Auto-filling of customer address should be removed",
"CUS-025",,"Customer","Payment Terms should not auto-fill on new customer creation",
"SUP-012",,"Supplier","Remove State Code field from Supplier module",
"SUP-013",,"Supplier","Add Currency field to Supplier Master",
"SAL-037",,"Sales","Split Sales Invoice into four types: Export, Within State, Other States, Union Territory",
"SAL-038",,"Sales","Export Invoice: GST not applicable; add optional 'Import & Export Code' field; update print label",
"SAL-039",,"Sales","Auto-calculate GST based on Place of Supply (CGST+SGST / IGST / UTGST / 0%)",
"PUR-007",,"Purchase Order","Add 'Delivery Tolerance' and 'Over Delivery Tolerance' fields in PO; values must flow to GRN",
"PUR-008",,"Purchase Order","Watermark 'Approved' on approved PO PDF; 'Not Approved' on Draft PDF",
"PUR-009",,"Purchase Order","PDF: Print CGST and SGST values only â€“ remove '%' suffix above 'Total Amount' in footer",
"PUR-010",,"Purchase Order","GST should not auto-fill before product is selected in Purchase Order",
"GRN-014",,"GRN","Add S.No / Line Item number column in GRN and enable item search box",
"GRN-015",,"GRN","Received Qty must not exceed PO Quantity; accept within Delivery Tolerance",
"STO-008",,"Stock Master","Multiple batches of same product must display as separate line items in Stock Master",
"STO-009",,"Stock Master","Add Inventory Count module: auto count number (INV-MONTH-001), count date, performed by, and product input fields",
"STO-010",,"Stock Master","Add 'Inventory Count Difference' module (admin only) showing count vs existing stock and variance",
"PRO-015",,"Products Master","Remove 'Opening Stock' field from Products Master",
"SAL-040",,"Sales","Batch should auto-fill or show as dropdown when product is selected in Sales Invoice",
"SAL-041",,"Sales","Exp Date and Mfg Date must auto-fill based on selected Batch in Sales Invoice",
"SAL-042",,"Sales","Add Packing Unit field to Sales Invoice",
"SAL-043",,"Sales","Shipping address must be validated before Sales Invoice creation",
"SAL-044",,"Sales","Mfg Date and Exp Date validation not working â€“ wrong dates/batch accepted; stock reduces incorrectly",
"COM-001",,"Company","Add field ""Import and Export Code"" and make it as optional field",
"PRO-001","Changed ","Product","Enable ""Basic Unit"" field in drop down","""Basic Unit"" with drop down including all the basic units"
"PRO-002","Changed ","Product","optional field have to be come near Order Unit / packing","Display it as ""Order unit/packing (optional)"""
"STO-001","Changed ","Stock","Display Low stock as it is blinking like a animation","Blinking Animation"
"GRN-001",,"GRN","Watermark 'Approved' on approved Sales invoices(all the four invoices) PDF; 'Not Approved' on Draft PDF",
"GRN-002",,"GRN","The manufacturing date is allowing future date also ( the mfg date must be past date)",
"GRN-003",,"GRN","""Product Code"" or ""Product ID"" in Quotation it is ""Product ID"" but in GRN it is represented as ""Product Code""",
"GRN-004",,"GRN","The system status is not showing ""Partial"" while we are receiving partial quantity",
"SI-001",,"Sales Invoices","In all the PDFs, GST percentage is printing along with the term ""CGST""/""SGST""/""IGST""",
"SI-002",,"Sales Invoices","Add validation to MFG date and Exp date in sales invoice ",
"PAY-001",,"Payables","Add new field â€œ Purchase order number â€œ related to supplier for advance payment ",
"PAY-002",,"Payables","System is not considering advance payment.",
